회차,당첨번호,,,,,,,,,,,,,,,,,,,
year,회차,일자,1등 당첨자수,1등 당첨액,2등 당첨자수,2등 당첨액,3등 당첨자수,3등 당첨액,4등 당첨자수,4등 당첨액,5등 당첨자수,5등 당첨액,당첨번호#1,당첨번호#2,당첨번호#3,당첨번호#4,당첨번호#5,당첨번호#6,당첨번호#7
2026,1205,2026.01.03,10,32263862630,97,5377310527,3486,5377311870,174740,8737000000,2915978,14579890000,1,4,16,23,31,41,2
2025,1204,2025.12.27,18,"1,661,007,688",95,"52,452,875","3,361","1,482,602","164,919","50,000","2,753,835","5,000",8,16,28,30,31,44,27
2025,1203,2025.12.20,21,"1,368,060,733",118,"40,578,073","3,588","1,334,508","171,960","50,000","2,784,823","5,000",3,6,18,29,35,39,24
2025,1202,2025.12.13,14,"1,920,410,813",109,"41,109,712","3,764","1,190,478","180,212","50,000","2,723,770","5,000",5,12,21,33,37,40,7
2025,1201,2025.12.6,19,"1,414,555,718",84,"53,326,506","3,321","1,348,819","166,050","50,000","2,711,377","5,000",7,9,24,27,35,36,37
2025,1200,2025.11.29,12,"2,357,299,875",80,"58,932,497","3,584","1,315,458","161,754","50,000","2,673,060","5,000",1,2,4,16,20,32,45
2025,1199,2025.11.22,17,"1,695,609,839",75,"64,056,372","3,504","1,371,070","157,073","50,000","2,604,985","5,000",16,24,25,30,31,32,7
2025,1198,2025.11.15,10,"2,953,686,638",78,"63,112,963","3,110","1,582,898","155,228","50,000","2,591,974","5,000",26,30,33,38,39,41,21
2025,1197,2025.11.8,13,"2,205,089,827",74,"64,563,441","3,087","1,547,683","162,871","50,000","2,751,422","5,000",1,5,7,26,28,43,30
2025,1196,2025.11.1,15,"2,001,627,550",94,"53,234,776","2,837","1,763,860","153,894","50,000","2,619,093","5,000",8,12,15,29,40,45,14
2025,1195,2025.10.25,10,"2,939,186,738",86,"56,960,984","3,337","1,467,979","165,621","50,000","2,797,760","5,000",3,15,27,33,34,36,37
2025,1194,2025.10.18,28,"985,155,349",99,"46,438,300","5,442","844,799","186,820","50,000","2,884,544","5,000",3,13,15,24,33,37,2
2025,1193,2025.10.11,16,"1,717,013,508",84,"54,508,366","3,635","1,259,616","175,936","50,000","2,782,376","5,000",6,9,16,19,24,28,17
2025,1192,2025.10.4,29,"1,079,546,587",95,"54,924,300","3,476","1,501,096","171,551","50,000","2,841,016","5,000",10,16,23,36,39,40,11
2025,1191,2025.9.27,18,"1,536,334,355",132,"34,916,690","3,649","1,263,087","184,758","50,000","2,905,296","5,000",1,4,11,12,20,41,2
2025,1190,2025.9.20,6,"4,622,793,813",113,"40,909,680","3,293","1,403,825","168,764","50,000","2,752,776","5,000",7,9,19,23,26,45,33
2025,1189,2025.9.13,13,"2,263,651,299",167,"29,368,730","3,121","1,571,477","152,345","50,000","2,577,694","5,000",9,19,29,35,37,38,31
2025,1188,2025.9.6,24,"1,074,625,172",111,"38,725,232","3,713","1,157,690","188,314","50,000","2,901,056","5,000",3,4,12,19,22,27,9
